"ID","text","sensibile"
"SexualOrientation001","HELLO LESBIANS..... COME HERE U ARE ALL SO COOL",1
"SexualOrientation002","creosote reality Humans can t change sex It is cruel and misleading to use language that would suggest otherwise when speaking to vulnerable people Compassion and coddling are not the same thing",1
"SexualOrientation003","happy #InternationalLesbianDay to trans lesbians and he/him lesbians especially!!!! you are wonderful and i love you!!!!",1
"SexualOrientation004","in honor of lesbian day u should follow me the coolest lesbian on twitter dot com",1
"SexualOrientation005","Why is every mf on twitter bi

I know its double the chances but still god damn",0
"SexualOrientation006","Pretty sure Bi Pan lesbians exist off Twitter too",0
"SexualOrientation007","Yo I love the dark and light academica aesthetic but I keep buying these striped ribbed closeted bisexual shirts.- girl buy a sweater vest- stop trying to be a part of bi girl fall what the heck",0
"SexualOrientation008","tw // transphobia genitalia 

can we stop asking enby and trans ppl whats in their pants.... pls",0
"SexualOrientation009","happy lesbian day to her , ",1
"SexualOrientation010","just because your lgbtq+ and that makes you a minority does NOT mean that you struggle as much as pocbefore y'all get mad I'm bi and trust me we do not face struggles as much as poc.",1
"SexualOrientation011","luvs music Tell that to the police I’m sure if pulled over they won’t she’s Bi racial",1
"SexualOrientation012","#wontdiewaiting is the truest expression of the 'woke' individualistic spoilt narcissism at the heart of this modern obsession with gender identity.",0
"SexualOrientation013","Annette is bi though she may only be into Mercedes as far as women go , ",1
"SexualOrientation014","someone can literally tell me they don’t see me like that and I’ll just keep falling in love 🤡🤡🤡",0
"SexualOrientation015","for oppression to exist there needs to be a power dynamic lesbians and trans women can't oppress cis bi women cuz we are not in a position of power over you",0
"SexualOrientation016","Perhaps Man, as identity and sexual difference, calls forth the capacity to be imagined as without Lack.

I would suggest, then, a reading of Man as that which, in gender, performs a refusal and negation of the signifiers of Lack (S(ϕ)).",0
"SexualOrientation017","12 year olds cannot “have sex”—they are way below the age at which society has decided they can make a remotely reasoned decision to consent to sexual activity 12yos having sex happen to them whether they think they consent in NO WAY means that they “understand” sex amp sexuality",0
"SexualOrientation018","jolley Ehrhardt seminar today was brilliant on Mary Magdalene and sexual violence Excellent discussion of how interpretation can be sexual violence and reception history of both Magdalene and women s sexuality Thank you for a great paper",0
"SexualOrientation019","I am fine with marrying an unemployed guy but he should have a certificate in cuddling a diploma in caring and a degree in respecting women ❤️",0
"SexualOrientation020","We have never said that regarding those who are gay You’re sick I don’t judge anyone for their sexual orientation That’s a lie Anyway you can promote hatred you do It isn’t working they know who the party of hate is",0
"SexualOrientation021","are you a lesbian",1
"SexualOrientation022","The perversion of the Left has gone absolutely bonkers. There was a full fledged TED talk about how pedophilia is just another sexual orientation and should not be stigmatised. There's a movement in US called Virtuous Pedophiles. Netflix is releasing movies like Cuties. 🤮🤮🤮 , ",1
