"ID","text","sensibile"
"Racism001","Hey, I don’t know who needs to hear this but making a globally dangerous virus into an anime girl and giving her a traditional Chinese outfit is completely racist and also inconsiderate! Keep Corona-Chan off my fucking timeline, it’s horrible and I will b",0
"Racism002","#classicmoviequotes hate you black bastards you stink! i hate ya black skin.. i hate ur black pants..i hate black pepper!",1
"Racism003","them negroes was cutting me off i hate it 😂😭😂😂",1
"Racism004","As an African American woman vs you likely a white man in america you have absolutely ZERO right to tell me what I should and should not be offended by no matter how many years has past since then Are you sitting here trying to tell my that slavery is no ",0
"Racism005","i hate that ceyan is so asian",1
"Racism006","Your word play is elementary. Lol hillbilly",1
"Racism007","They are paid Indian parasites trolls hired by Indian Hindu nationalist groups to spread lies and hatred against China so that their gullible citizen won t question the incompetent government of India indianparasite",1
"Racism008","The arrogance of Indian Hindu liberal twats, because they are of of course just as fucking stupid as their asshole, right wing brethren,
to claim India will be Hindu Saudi Arabia.
NO, it will be a gajab shittier, third world, broke-ass version of Saudi Ar",1
"Racism009","Honest to God fuck british people you talk shit on their wack ass food and their only counter is making fun of cheese whiz but like who gives a fuck that's cheese to put on crackers not a fucking dish fucking nasty rat people with beans on toast",1
"Racism010","I can’t help but feel like ADOS wouldn’t be a thing if y’all Africans in America weren’t so snobby.
Did them booty scratcher jokes hit you so bad that you’re acting like a bastard in adulthood? 😭",1
"Racism011","Take your fuckin hick freak cult back into the back water hollar fuckin mutant hills have eyes mongoloids",1
"Racism012","Typical white boy dickhead humor Shoulda never got this far",1
"Racism013","Don't be fucking racist to Asian people because you think they have coronavirus!! It's that simple!!!!",0
"Racism014","I’m tired of you blackface bet comic view type comedian negroes whether on here or in real life...that shit isn’t funny all the time weirdo",1
"Racism015","i’m usually the last person on earth to defend desi men but if a guy is being scum why highlight his ethnicity when you wouldn’t if he was white",0
"Racism016","to hell w/tis bullshit this is why i hate black people i'm getting dressed for work *mumbles* 8-]",1
"Racism017","Yeah but calling it the Chinese virus or the Wuhan flu makes it seem like it’s the Chinese citizens fault It isn’t It’s the dumb bitch they’ve got in charge Winnie the Pooh looking bitch You know who I’m talking about",0
"Racism018","mago jinete brother Stop eating vermin and exotic animals you damned slant eyed COVID 19 spreader Mind YOUR damned business Ladyboy Ling Ling 🐀🥡🥢",1
"Racism019","The idea that the virus gives a shit about borders is even more so The idea that Chinese people products or food are riskier is dangerous and false propoganda It denies the realities of this virus and puts Asian Americans at risk and you engaging in it ma",0
"Racism020","I have zero sympathy for negroes that co-opt their own downfall. Zero.",1
"Racism021","Wtf does he she hate N1 k1 just because he s japanese Tf is wrong with them 🤢",1
"Racism022","My mom calls uncle Ike’s “that white boy who sells dope” 😂😂",1
"Racism023","so how many people hate black people now ? lmfao.",1
"Racism024","Yeah you a white boy b**** punk pig ain't your b**** what you doing pig I ain't here to teach you how to do your f****** job pig you f****** punk ass pig",1
"Racism025","Niggas so ignorant they’ll kill you over last place.",1
"Racism026","One country fucked up the world. Thanks to #ChineseVirus 🇨🇳",1
"Racism027","I said of course all lives matter previously The point is white people haven’t been oppressed and discriminated against for hundreds of years You must know this The context is Black Lives Matter as well so stop the discrimination",0
"Racism028","Here’s this retard cleaning his shoes with face masks just produced. The West needs to get its act together and get manufacturing back!  #WuhanVirus #WuhanCoronaVirus  #ChinaVirus",1
"Racism029","AL is complete trash as a coach and colour has zero to do with his OC being good or bad I bet you call white people racist yet what they hell is that comment Ignorant people sheesh",0
"Racism030","can every other white person collectively agree not to shout ""you should cosplay garnet from steven universe"" at every single black woman with an afro bc every person ive known who has lived that experience. does not enjoy it. and in fact found it really ",0
"Racism031","reading about innocent black people getting murdered is heartbreaking, but imagine the pain their families must go through.
don’t be ignorant. this could be you and your family. this could be your friends.
don’t look away!!",0
"Racism032","Canada Fuck off and get the fuck out of Canada and the US we’ve been infected enough by your CCP China virus and other BS ChineseWuhanVirus ChinaLiedPeopleDied",1
"Racism033","Traffic Donkey work by Africans",1
"Racism034","niggas be a DEADBEAT &amp; GAY ! 😂 wild ass 2 for 1 combo 😂😂🏌🏽‍♀️",1
"Racism035","WHAT THE FUCK DOPE JAPANESE VER HITS DIFF I8EGDHJSBAUIEJWS",1
"Racism036","i hate the world we fucking live in WHY does an innocent person have to keep fucking dying. why?they SAY. it’s the the land of the free. but black people arent free any PERSON OF COLOR ARENT FUCKING FREE.they are dying every fucking day. so many people ar",0
